Main,42.03333,-87.67925,elevated,false,-1,-1,-1,-1,6,-1,-1
South Boulevard,42.02792,-87.67919,elevated,false,-1,-1,-1,-1,7,-1,-1
54th/Cermak,41.851663,-87.759598,at-grade,true,-1,-1,-1,-1,-1,0,-1
Cicero,41.85182,-87.745336,at-grade,true,-1,-1,-1,-1,-1,1,-1
Kostner,41.853751,-87.733258,at-grade,true,-1,-1,-1,-1,-1,2,-1
Pulaski,41.853732,-87.724311,elevated,true,-1,-1,-1,-1,-1,3,-1
Central Park,41.853839,-87.714842,elevated,true,-1,-1,-1,-1,-1,4,-1
Kedzie,41.853964,-87.705408,elevated,true,-1,-1,-1,-1,-1,5,-1
California,41.854109,-87.694774,elevated,true,-1,-1,-1,-1,-1,6,-1
Western,41.854225,-87.685129,elevated,true,-1,-1,-1,-1,-1,7,-1
Damen,41.854517,-87.675975,elevated,true,-1,-1,-1,-1,-1,8,-1
18th,41.857955,-87.669178,elevated,true,-1,-1,-1,-1,-1,9,-1
Polk,41.871551,-87.66953,elevated,true,-1,-1,-1,-1,-1,10,-1
Midway,41.78661,-87.737875,at-grade,true,-1,-1,-1,-1,-1,-1,0
Pulaski,41.799756,-87.724493,elevated,true,-1,-1,-1,-1,-1,-1,1
Kedzie,41.804236,-87.704406,embankment,true,-1,-1,-1,-1,-1,-1,2
Western,41.804546,-87.684019,embankment,true,-1,-1,-1,-1,-1,-1,3
35th/Archer,41.829353,-87.680622,embankment,true,-1,-1,-1,-1,-1,-1,4
Ashland,41.839234,-87.665317,elevated,true,-1,-1,-1,-1,-1,-1,5
Halsted,41.84678,-87.648088,elevated,true,-1,-1,-1,-1,-1,-1,6
